age,d,significant,checkpoint,capability
0,-0.2956146822491837,TRUE,epoch,IDS Preference
0.06,-0.04702957965824266,FALSE,batch,IDS Preference
0.12,-0.3961451521982659,TRUE,batch,IDS Preference
0.18,-0.3858976695314853,TRUE,batch,IDS Preference
0.24,-0.37298043618213944,TRUE,batch,IDS Preference
0.3,-0.42309256204337664,TRUE,batch,IDS Preference
0.36,-0.47102529162149254,TRUE,batch,IDS Preference
0.42,-0.5526858488753065,TRUE,batch,IDS Preference
0.48,-0.6724053353868973,TRUE,batch,IDS Preference
0.54,-0.797739511271663,TRUE,batch,IDS Preference
0.6,-0.8932125291822365,TRUE,batch,IDS Preference
0.6599999999999999,-0.8715729323128661,TRUE,batch,IDS Preference
0.57,-0.8740934647784423,TRUE,epoch,IDS Preference
1.14,-0.7058568651336863,TRUE,epoch,IDS Preference
1.71,-0.6250049138213893,TRUE,epoch,IDS Preference
2.28,-0.5679111779767639,TRUE,epoch,IDS Preference
2.8499999999999996,-0.5622546670544265,TRUE,epoch,IDS Preference
3.42,-0.45296651433777035,TRUE,epoch,IDS Preference
3.9899999999999998,-0.4907466496854185,TRUE,epoch,IDS Preference
4.56,-0.4788564155183571,TRUE,epoch,IDS Preference
5.13,-0.2926886823081009,TRUE,epoch,IDS Preference
5.699999999999999,-0.25484915960502935,TRUE,epoch,IDS Preference
6.27,-0.22509804491695107,FALSE,epoch,IDS Preference
6.84,-0.2986982491474013,TRUE,epoch,IDS Preference
7.409999999999999,-0.23094897924168103,FALSE,epoch,IDS Preference
7.9799999999999995,-0.16027572893313596,FALSE,epoch,IDS Preference
8.549999999999999,-0.095459021490827,FALSE,epoch,IDS Preference
9.12,-0.0873163411961017,FALSE,epoch,IDS Preference
9.69,-0.046680787522144405,FALSE,epoch,IDS Preference
10.26,-0.005880487598566314,FALSE,epoch,IDS Preference
