days,d,significant,checkpoint,capability
0,-0.3208834640736196,TRUE,epoch,IDS Preference
1.73,-0.42472754305463434,TRUE,batch,IDS Preference
3.46,-0.4181161188128242,TRUE,batch,IDS Preference
5.1899999999999995,-0.4118764876541427,TRUE,batch,IDS Preference
6.92,-0.45937655540694905,TRUE,batch,IDS Preference
8.65,-0.4943238093686125,TRUE,batch,IDS Preference
10.379999999999999,-0.5518746601112692,TRUE,batch,IDS Preference
12.11,-0.6131162978273718,TRUE,batch,IDS Preference
13.84,-0.6960809341496595,TRUE,batch,IDS Preference
15.57,-0.7094171777768621,TRUE,batch,IDS Preference
17.3,-0.65422594929289,TRUE,batch,IDS Preference
17.3,-0.6427959702592515,TRUE,epoch,IDS Preference
34.6,-0.5055910023954843,TRUE,epoch,IDS Preference
51.900000000000006,-0.4823034131330176,TRUE,epoch,IDS Preference
69.2,-0.32056034727966704,TRUE,epoch,IDS Preference
86.5,-0.2875950423326637,TRUE,epoch,IDS Preference
103.80000000000001,-0.17655804068132414,FALSE,epoch,IDS Preference
121.10000000000001,-0.13188098947176374,FALSE,epoch,IDS Preference
138.4,-0.031361220993305856,FALSE,epoch,IDS Preference
155.70000000000002,0.055482864910680794,FALSE,epoch,IDS Preference
173,-0.0030494659270255938,FALSE,epoch,IDS Preference
