contrast;language;condition;file1;file2;distance
('A', 'i');('en', 'en');same;en_us1_f_001;en_us2_f_001;13.543650074824699
('A', 'i');('en', 'en');same;en_us1_f_001;en_us2_r_002;13.902886982307132
('A', 'i');('en', 'en');same;en_us1_f_001;en_us3_f_001;16.29239419771483
('A', 'i');('en', 'en');same;en_us1_f_001;en_us3_r_002;16.277706469786207
('A', 'i');('en', 'en');same;en_us1_r_002;en_us2_f_001;13.846318702091352
('A', 'i');('en', 'en');same;en_us1_r_002;en_us2_r_002;14.2230021094685
('A', 'i');('en', 'en');same;en_us1_r_002;en_us3_f_001;14.235485352997738
('A', 'i');('en', 'en');same;en_us1_r_002;en_us3_r_002;13.168568147537659
('A', 'i');('en', 'en');same;en_us2_f_001;en_us3_f_001;14.382566938145976
('A', 'i');('en', 'en');same;en_us2_f_001;en_us3_r_002;14.592953635797139
('A', 'i');('en', 'en');same;en_us2_r_002;en_us3_f_001;14.302347153920609
('A', 'i');('en', 'en');same;en_us2_r_002;en_us3_r_002;14.07376839440763
('A', 'i');('en', 'en');same;en_us1_f_003;en_us2_f_003;11.423895448680431
('A', 'i');('en', 'en');same;en_us1_f_003;en_us2_r_004;11.426950749831013
('A', 'i');('en', 'en');same;en_us1_f_003;en_us3_f_003;16.27499715750974
('A', 'i');('en', 'en');same;en_us1_f_003;en_us3_r_004;15.827246530392488
('A', 'i');('en', 'en');same;en_us1_r_004;en_us2_f_003;11.572825631131815
('A', 'i');('en', 'en');same;en_us1_r_004;en_us2_r_004;10.70989324228383
('A', 'i');('en', 'en');same;en_us1_r_004;en_us3_f_003;16.542038244284015
('A', 'i');('en', 'en');same;en_us1_r_004;en_us3_r_004;15.700555604101568
('A', 'i');('en', 'en');same;en_us2_f_003;en_us3_f_003;6.894204998653009
('A', 'i');('en', 'en');same;en_us2_f_003;en_us3_r_004;7.183449307296028
('A', 'i');('en', 'en');same;en_us2_r_004;en_us3_f_003;6.92411867243254
('A', 'i');('en', 'en');same;en_us2_r_004;en_us3_r_004;7.255383944243781
('A', 'i');('en', 'en');different;en_us1_f_001;en_us2_f_003;30.569008388718572
('A', 'i');('en', 'en');different;en_us1_f_001;en_us2_r_004;28.18244553925083
('A', 'i');('en', 'en');different;en_us1_f_001;en_us3_f_003;36.329061436570136
('A', 'i');('en', 'en');different;en_us1_f_001;en_us3_r_004;36.61587841158227
('A', 'i');('en', 'en');different;en_us1_r_002;en_us2_f_003;29.048253745415398
('A', 'i');('en', 'en');different;en_us1_r_002;en_us2_r_004;26.888248270234
('A', 'i');('en', 'en');different;en_us1_r_002;en_us3_f_003;34.714714117395815
('A', 'i');('en', 'en');different;en_us1_r_002;en_us3_r_004;35.567991227410936
('A', 'i');('en', 'en');different;en_us2_f_001;en_us1_f_003;28.687187453836277
('A', 'i');('en', 'en');different;en_us2_f_001;en_us1_r_004;29.533281307599058
('A', 'i');('en', 'en');different;en_us2_f_001;en_us3_f_003;37.465343659691484
('A', 'i');('en', 'en');different;en_us2_f_001;en_us3_r_004;40.316281235843825
('A', 'i');('en', 'en');different;en_us2_r_002;en_us1_f_003;27.28821216267165
('A', 'i');('en', 'en');different;en_us2_r_002;en_us1_r_004;30.82646829216676
('A', 'i');('en', 'en');different;en_us2_r_002;en_us3_f_003;36.525095590502374
('A', 'i');('en', 'en');different;en_us2_r_002;en_us3_r_004;40.11236375038832
('A', 'i');('en', 'en');different;en_us3_f_001;en_us1_f_003;26.860281429571454
('A', 'i');('en', 'en');different;en_us3_f_001;en_us1_r_004;29.1101627215698
('A', 'i');('en', 'en');different;en_us3_f_001;en_us2_f_003;29.298026264441184
('A', 'i');('en', 'en');different;en_us3_f_001;en_us2_r_004;28.777134637162153
('A', 'i');('en', 'en');different;en_us3_r_002;en_us1_f_003;26.72738308410608
('A', 'i');('en', 'en');different;en_us3_r_002;en_us1_r_004;28.321446981491924
('A', 'i');('en', 'en');different;en_us3_r_002;en_us2_f_003;28.66338603440573
('A', 'i');('en', 'en');different;en_us3_r_002;en_us2_r_004;27.738456953202387
('i', 'I');('en', 'en');same;en_us1_f_003;en_us2_f_003;11.423895448680431
('i', 'I');('en', 'en');same;en_us1_f_003;en_us2_r_004;11.426950749831013
('i', 'I');('en', 'en');same;en_us1_f_003;en_us3_f_003;16.27499715750974
('i', 'I');('en', 'en');same;en_us1_f_003;en_us3_r_004;15.827246530392488
('i', 'I');('en', 'en');same;en_us1_r_004;en_us2_f_003;11.572825631131815
('i', 'I');('en', 'en');same;en_us1_r_004;en_us2_r_004;10.70989324228383
('i', 'I');('en', 'en');same;en_us1_r_004;en_us3_f_003;16.542038244284015
('i', 'I');('en', 'en');same;en_us1_r_004;en_us3_r_004;15.700555604101568
('i', 'I');('en', 'en');same;en_us2_f_003;en_us3_f_003;6.894204998653009
('i', 'I');('en', 'en');same;en_us2_f_003;en_us3_r_004;7.183449307296028
('i', 'I');('en', 'en');same;en_us2_r_004;en_us3_f_003;6.92411867243254
('i', 'I');('en', 'en');same;en_us2_r_004;en_us3_r_004;7.255383944243781
('i', 'I');('en', 'en');same;en_us1_f_005;en_us2_f_005;14.517126155316916
('i', 'I');('en', 'en');same;en_us1_f_005;en_us2_r_006;14.233468655716354
('i', 'I');('en', 'en');same;en_us1_f_005;en_us3_f_005;20.97361200825726
('i', 'I');('en', 'en');same;en_us1_f_005;en_us3_r_006;21.046896408815353
('i', 'I');('en', 'en');same;en_us1_r_006;en_us2_f_005;14.41527624169411
('i', 'I');('en', 'en');same;en_us1_r_006;en_us2_r_006;13.74900937011758
('i', 'I');('en', 'en');same;en_us1_r_006;en_us3_f_005;20.525620250733557
('i', 'I');('en', 'en');same;en_us1_r_006;en_us3_r_006;20.62961436655159
('i', 'I');('en', 'en');same;en_us2_f_005;en_us3_f_005;13.810898520733915
('i', 'I');('en', 'en');same;en_us2_f_005;en_us3_r_006;14.476729084909504
('i', 'I');('en', 'en');same;en_us2_r_006;en_us3_f_005;14.515839354281223
('i', 'I');('en', 'en');same;en_us2_r_006;en_us3_r_006;15.276410337390569
('i', 'I');('en', 'en');different;en_us1_f_003;en_us2_f_005;19.71384627911475
('i', 'I');('en', 'en');different;en_us1_f_003;en_us2_r_006;18.33922873602282
('i', 'I');('en', 'en');different;en_us1_f_003;en_us3_f_005;23.54576612527852
('i', 'I');('en', 'en');different;en_us1_f_003;en_us3_r_006;23.917596465905195
('i', 'I');('en', 'en');different;en_us1_r_004;en_us2_f_005;18.93702161914598
('i', 'I');('en', 'en');different;en_us1_r_004;en_us2_r_006;17.461941640409776
('i', 'I');('en', 'en');different;en_us1_r_004;en_us3_f_005;25.550213235020657
('i', 'I');('en', 'en');different;en_us1_r_004;en_us3_r_006;25.47771603329763
('i', 'I');('en', 'en');different;en_us2_f_003;en_us1_f_005;18.18484777946459
('i', 'I');('en', 'en');different;en_us2_f_003;en_us1_r_006;17.574771721736834
('i', 'I');('en', 'en');different;en_us2_f_003;en_us3_f_005;18.92471723701728
('i', 'I');('en', 'en');different;en_us2_f_003;en_us3_r_006;18.62718356307428
('i', 'I');('en', 'en');different;en_us2_r_004;en_us1_f_005;17.23504027726824
('i', 'I');('en', 'en');different;en_us2_r_004;en_us1_r_006;15.926069662819314
('i', 'I');('en', 'en');different;en_us2_r_004;en_us3_f_005;18.205472357592264
('i', 'I');('en', 'en');different;en_us2_r_004;en_us3_r_006;18.010363164597873
('i', 'I');('en', 'en');different;en_us3_f_003;en_us1_f_005;24.31105289005607
('i', 'I');('en', 'en');different;en_us3_f_003;en_us1_r_006;22.57413964897836
('i', 'I');('en', 'en');different;en_us3_f_003;en_us2_f_005;15.019334701552442
('i', 'I');('en', 'en');different;en_us3_f_003;en_us2_r_006;14.243582679171931
('i', 'I');('en', 'en');different;en_us3_r_004;en_us1_f_005;24.385013648572762
('i', 'I');('en', 'en');different;en_us3_r_004;en_us1_r_006;22.282646604509218
('i', 'I');('en', 'en');different;en_us3_r_004;en_us2_f_005;15.827335905725958
('i', 'I');('en', 'en');different;en_us3_r_004;en_us2_r_006;15.10555902136782
('A', 'E');('en', 'en');same;en_us1_f_001;en_us2_f_001;13.543650074824699
('A', 'E');('en', 'en');same;en_us1_f_001;en_us2_r_002;13.902886982307132
('A', 'E');('en', 'en');same;en_us1_f_001;en_us3_f_001;16.29239419771483
('A', 'E');('en', 'en');same;en_us1_f_001;en_us3_r_002;16.277706469786207
('A', 'E');('en', 'en');same;en_us1_r_002;en_us2_f_001;13.846318702091352
('A', 'E');('en', 'en');same;en_us1_r_002;en_us2_r_002;14.2230021094685
('A', 'E');('en', 'en');same;en_us1_r_002;en_us3_f_001;14.235485352997738
('A', 'E');('en', 'en');same;en_us1_r_002;en_us3_r_002;13.168568147537659
('A', 'E');('en', 'en');same;en_us2_f_001;en_us3_f_001;14.382566938145976
('A', 'E');('en', 'en');same;en_us2_f_001;en_us3_r_002;14.592953635797139
('A', 'E');('en', 'en');same;en_us2_r_002;en_us3_f_001;14.302347153920609
('A', 'E');('en', 'en');same;en_us2_r_002;en_us3_r_002;14.07376839440763
('A', 'E');('en', 'en');same;en_us1_f_007;en_us2_f_007;14.031567226612225
('A', 'E');('en', 'en');same;en_us1_f_007;en_us2_r_008;14.103658968062437
('A', 'E');('en', 'en');same;en_us1_f_007;en_us3_f_007;21.4572364188409
('A', 'E');('en', 'en');same;en_us1_f_007;en_us3_r_008;23.83761629420342
('A', 'E');('en', 'en');same;en_us1_r_008;en_us2_f_007;13.024907130219953
('A', 'E');('en', 'en');same;en_us1_r_008;en_us2_r_008;13.063410275309707
('A', 'E');('en', 'en');same;en_us1_r_008;en_us3_f_007;20.429275629812107
('A', 'E');('en', 'en');same;en_us1_r_008;en_us3_r_008;23.046793813498777
('A', 'E');('en', 'en');same;en_us2_f_007;en_us3_f_007;12.881355718857357
('A', 'E');('en', 'en');same;en_us2_f_007;en_us3_r_008;14.340793491258689
('A', 'E');('en', 'en');same;en_us2_r_008;en_us3_f_007;13.667286280948778
('A', 'E');('en', 'en');same;en_us2_r_008;en_us3_r_008;14.762446463481785
('A', 'E');('en', 'en');different;en_us1_f_001;en_us2_f_007;21.49931146128154
('A', 'E');('en', 'en');different;en_us1_f_001;en_us2_r_008;22.93223723475486
('A', 'E');('en', 'en');different;en_us1_f_001;en_us3_f_007;26.199593691403283
('A', 'E');('en', 'en');different;en_us1_f_001;en_us3_r_008;27.024513304180054
('A', 'E');('en', 'en');different;en_us1_r_002;en_us2_f_007;20.10575873474292
('A', 'E');('en', 'en');different;en_us1_r_002;en_us2_r_008;21.324030947845557
('A', 'E');('en', 'en');different;en_us1_r_002;en_us3_f_007;24.338130766326774
('A', 'E');('en', 'en');different;en_us1_r_002;en_us3_r_008;26.071348749896337
('A', 'E');('en', 'en');different;en_us2_f_001;en_us1_f_007;19.69240666295937
('A', 'E');('en', 'en');different;en_us2_f_001;en_us1_r_008;21.743369154237964
('A', 'E');('en', 'en');different;en_us2_f_001;en_us3_f_007;26.18120672597387
('A', 'E');('en', 'en');different;en_us2_f_001;en_us3_r_008;27.327472349871517
('A', 'E');('en', 'en');different;en_us2_r_002;en_us1_f_007;19.72539622142858
('A', 'E');('en', 'en');different;en_us2_r_002;en_us1_r_008;21.07174718382741
('A', 'E');('en', 'en');different;en_us2_r_002;en_us3_f_007;26.449826241133497
('A', 'E');('en', 'en');different;en_us2_r_002;en_us3_r_008;27.322217606061624
('A', 'E');('en', 'en');different;en_us3_f_001;en_us1_f_007;21.231474612353896
('A', 'E');('en', 'en');different;en_us3_f_001;en_us1_r_008;20.962892912230494
('A', 'E');('en', 'en');different;en_us3_f_001;en_us2_f_007;20.043132887831554
('A', 'E');('en', 'en');different;en_us3_f_001;en_us2_r_008;21.002803220256904
('A', 'E');('en', 'en');different;en_us3_r_002;en_us1_f_007;20.673631090406474
('A', 'E');('en', 'en');different;en_us3_r_002;en_us1_r_008;20.290192695354666
('A', 'E');('en', 'en');different;en_us3_r_002;en_us2_f_007;20.27262778589467
('A', 'E');('en', 'en');different;en_us3_r_002;en_us2_r_008;20.881256663717455
('A', '{');('en', 'en');same;en_us1_f_001;en_us2_f_001;13.543650074824699
('A', '{');('en', 'en');same;en_us1_f_001;en_us2_r_002;13.902886982307132
('A', '{');('en', 'en');same;en_us1_f_001;en_us3_f_001;16.29239419771483
('A', '{');('en', 'en');same;en_us1_f_001;en_us3_r_002;16.277706469786207
('A', '{');('en', 'en');same;en_us1_r_002;en_us2_f_001;13.846318702091352
('A', '{');('en', 'en');same;en_us1_r_002;en_us2_r_002;14.2230021094685
('A', '{');('en', 'en');same;en_us1_r_002;en_us3_f_001;14.235485352997738
('A', '{');('en', 'en');same;en_us1_r_002;en_us3_r_002;13.168568147537659
('A', '{');('en', 'en');same;en_us2_f_001;en_us3_f_001;14.382566938145976
('A', '{');('en', 'en');same;en_us2_f_001;en_us3_r_002;14.592953635797139
('A', '{');('en', 'en');same;en_us2_r_002;en_us3_f_001;14.302347153920609
('A', '{');('en', 'en');same;en_us2_r_002;en_us3_r_002;14.07376839440763
('A', '{');('en', 'en');same;en_us1_f_011;en_us2_f_011;13.535435889735554
('A', '{');('en', 'en');same;en_us1_f_011;en_us2_r_012;13.97906976679221
('A', '{');('en', 'en');same;en_us1_f_011;en_us3_f_011;17.940069733871827
('A', '{');('en', 'en');same;en_us1_f_011;en_us3_r_012;18.217334901466533
('A', '{');('en', 'en');same;en_us1_r_012;en_us2_f_011;14.516599760379988
('A', '{');('en', 'en');same;en_us1_r_012;en_us2_r_012;13.682028819143312
('A', '{');('en', 'en');same;en_us1_r_012;en_us3_f_011;17.048834539336063
('A', '{');('en', 'en');same;en_us1_r_012;en_us3_r_012;16.82899215265001
('A', '{');('en', 'en');same;en_us2_f_011;en_us3_f_011;12.33170800039847
('A', '{');('en', 'en');same;en_us2_f_011;en_us3_r_012;13.494801394073889
('A', '{');('en', 'en');same;en_us2_r_012;en_us3_f_011;13.181168240596964
('A', '{');('en', 'en');same;en_us2_r_012;en_us3_r_012;14.166851879220381
('A', '{');('en', 'en');different;en_us1_f_001;en_us2_f_011;17.22032159959768
('A', '{');('en', 'en');different;en_us1_f_001;en_us2_r_012;16.47536936162929
('A', '{');('en', 'en');different;en_us1_f_001;en_us3_f_011;24.829174582754177
('A', '{');('en', 'en');different;en_us1_f_001;en_us3_r_012;25.241998227157897
('A', '{');('en', 'en');different;en_us1_r_002;en_us2_f_011;16.52656310530449
('A', '{');('en', 'en');different;en_us1_r_002;en_us2_r_012;16.339614952958154
('A', '{');('en', 'en');different;en_us1_r_002;en_us3_f_011;21.887403404737547
('A', '{');('en', 'en');different;en_us1_r_002;en_us3_r_012;22.37440443368849
('A', '{');('en', 'en');different;en_us2_f_001;en_us1_f_011;15.669054632542965
('A', '{');('en', 'en');different;en_us2_f_001;en_us1_r_012;17.034524176114274
('A', '{');('en', 'en');different;en_us2_f_001;en_us3_f_011;22.94276625983796
('A', '{');('en', 'en');different;en_us2_f_001;en_us3_r_012;23.783876193171036
('A', '{');('en', 'en');different;en_us2_r_002;en_us1_f_011;15.672250800605939
('A', '{');('en', 'en');different;en_us2_r_002;en_us1_r_012;16.02387261271523
('A', '{');('en', 'en');different;en_us2_r_002;en_us3_f_011;22.5681539691394
('A', '{');('en', 'en');different;en_us2_r_002;en_us3_r_012;22.992039226498385
('A', '{');('en', 'en');different;en_us3_f_001;en_us1_f_011;20.0026087571596
('A', '{');('en', 'en');different;en_us3_f_001;en_us1_r_012;18.95872936554977
('A', '{');('en', 'en');different;en_us3_f_001;en_us2_f_011;15.517580808205379
('A', '{');('en', 'en');different;en_us3_f_001;en_us2_r_012;15.193460455141361
('A', '{');('en', 'en');different;en_us3_r_002;en_us1_f_011;19.207535283817236
('A', '{');('en', 'en');different;en_us3_r_002;en_us1_r_012;18.035334203312615
('A', '{');('en', 'en');different;en_us3_r_002;en_us2_f_011;15.94571078159229
('A', '{');('en', 'en');different;en_us3_r_002;en_us2_r_012;15.679040288031777
