contrast;language;condition;file1;file2;distance
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr2_f_005;14.026115193119805
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr2_r_006;18.497486242730254
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr3_f_005;13.45568083516801
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr3_r_006;17.14056101910888
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr4_f_005;13.5612937846298
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr4_r_006;12.3807959993683
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr5_f_005;10.032091473409094
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr5_r_006;12.292405474141818
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr6_f_005;9.830196350299712
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr6_r_006;13.293538904283858
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr7_f_005;12.904320745947606
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr7_r_006;15.75530340015585
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr2_f_005;17.101220806942955
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr2_r_006;15.034545593361699
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr3_f_005;14.449481094412866
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr3_r_006;12.420313246161012
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr4_f_005;13.853185012041513
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr4_r_006;9.925790162200238
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr5_f_005;10.988826066764487
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr5_r_006;9.01922561453037
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr6_f_005;11.278675586920263
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr6_r_006;9.277759531602518
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr7_f_005;13.371727558131987
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr7_r_006;11.907238280137904
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr3_f_005;18.193430987534374
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr3_r_006;22.87744554379856
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr4_f_005;10.605458295480048
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr4_r_006;12.186206791980135
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr5_f_005;15.671112588413814
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr5_r_006;21.483871028966647
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr6_f_005;14.34712585914607
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr6_r_006;18.455094087760358
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr7_f_005;11.895537747932307
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr7_r_006;15.321673011397644
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr3_f_005;20.677733928762386
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr3_r_006;16.740599186900717
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr4_f_005;14.138758852365424
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr4_r_006;10.913278184527487
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr5_f_005;17.17575866097416
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr5_r_006;16.505113889131263
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr6_f_005;16.523912116000854
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr6_r_006;13.589644506639068
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr7_f_005;14.376047392296076
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr7_r_006;11.661081279239138
('a', 'a~');('fr', 'fr');same;fr_fr3_f_005;fr_fr4_f_005;14.994075617567125
('a', 'a~');('fr', 'fr');same;fr_fr3_f_005;fr_fr4_r_006;13.649102944678013
('a', 'a~');('fr', 'fr');same;fr_fr3_f_005;fr_fr5_f_005;12.689507059011731
('a', 'a~');('fr', 'fr');same;fr_fr3_f_005;fr_fr5_r_006;15.032761329684776
('a', 'a~');('fr', 'fr');same;fr_fr3_f_005;fr_fr6_f_005;15.017479737811872
('a', 'a~');('fr', 'fr');same;fr_fr3_f_005;fr_fr6_r_006;15.838240097727176
('a', 'a~');('fr', 'fr');same;fr_fr3_f_005;fr_fr7_f_005;14.491561877779592
('a', 'a~');('fr', 'fr');same;fr_fr3_f_005;fr_fr7_r_006;16.20033710353255
('a', 'a~');('fr', 'fr');same;fr_fr3_r_006;fr_fr4_f_005;18.513442752159172
('a', 'a~');('fr', 'fr');same;fr_fr3_r_006;fr_fr4_r_006;13.575512176579238
('a', 'a~');('fr', 'fr');same;fr_fr3_r_006;fr_fr5_f_005;15.66143162627994
('a', 'a~');('fr', 'fr');same;fr_fr3_r_006;fr_fr5_r_006;12.04358953641049
('a', 'a~');('fr', 'fr');same;fr_fr3_r_006;fr_fr6_f_005;16.719058400914356
('a', 'a~');('fr', 'fr');same;fr_fr3_r_006;fr_fr6_r_006;12.188026830926
('a', 'a~');('fr', 'fr');same;fr_fr3_r_006;fr_fr7_f_005;14.296335099629347
('a', 'a~');('fr', 'fr');same;fr_fr3_r_006;fr_fr7_r_006;11.449277965816389
('a', 'a~');('fr', 'fr');same;fr_fr4_f_005;fr_fr5_f_005;11.057811624240804
('a', 'a~');('fr', 'fr');same;fr_fr4_f_005;fr_fr5_r_006;17.464346698380293
('a', 'a~');('fr', 'fr');same;fr_fr4_f_005;fr_fr6_f_005;13.39899272991792
('a', 'a~');('fr', 'fr');same;fr_fr4_f_005;fr_fr6_r_006;17.64578549038337
('a', 'a~');('fr', 'fr');same;fr_fr4_f_005;fr_fr7_f_005;12.174777584902579
('a', 'a~');('fr', 'fr');same;fr_fr4_f_005;fr_fr7_r_006;16.277717235994942
('a', 'a~');('fr', 'fr');same;fr_fr4_r_006;fr_fr5_f_005;11.601428020142954
('a', 'a~');('fr', 'fr');same;fr_fr4_r_006;fr_fr5_r_006;12.120092550873323
('a', 'a~');('fr', 'fr');same;fr_fr4_r_006;fr_fr6_f_005;13.422486721403988
('a', 'a~');('fr', 'fr');same;fr_fr4_r_006;fr_fr6_r_006;11.975678437717525
('a', 'a~');('fr', 'fr');same;fr_fr4_r_006;fr_fr7_f_005;12.757646734489205
('a', 'a~');('fr', 'fr');same;fr_fr4_r_006;fr_fr7_r_006;12.493210109596642
('a', 'a~');('fr', 'fr');same;fr_fr5_f_005;fr_fr6_f_005;8.433185651456258
('a', 'a~');('fr', 'fr');same;fr_fr5_f_005;fr_fr6_r_006;11.767714133635346
('a', 'a~');('fr', 'fr');same;fr_fr5_f_005;fr_fr7_f_005;13.653476758831696
('a', 'a~');('fr', 'fr');same;fr_fr5_f_005;fr_fr7_r_006;15.859820636432369
('a', 'a~');('fr', 'fr');same;fr_fr5_r_006;fr_fr6_f_005;11.380080094502144
('a', 'a~');('fr', 'fr');same;fr_fr5_r_006;fr_fr6_r_006;8.245611985556888
('a', 'a~');('fr', 'fr');same;fr_fr5_r_006;fr_fr7_f_005;15.675007224757799
('a', 'a~');('fr', 'fr');same;fr_fr5_r_006;fr_fr7_r_006;12.870289808210254
('a', 'a~');('fr', 'fr');same;fr_fr6_f_005;fr_fr7_f_005;8.802002532291166
('a', 'a~');('fr', 'fr');same;fr_fr6_f_005;fr_fr7_r_006;11.89927559607352
('a', 'a~');('fr', 'fr');same;fr_fr6_r_006;fr_fr7_f_005;12.57293043908726
('a', 'a~');('fr', 'fr');same;fr_fr6_r_006;fr_fr7_r_006;10.227074921323275
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr2_f_007;12.80920676516889
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr2_r_008;17.88409257484092
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr3_f_007;8.657688041566857
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr3_r_008;10.710622893270623
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr4_f_007;9.983904456148807
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr4_r_008;12.315069971127635
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr5_f_007;6.544427140536124
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr5_r_008;8.720547555523401
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr6_f_007;6.913277798999194
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr6_r_008;8.651582655390225
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr7_f_007;10.41876468169613
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr7_r_008;14.230072325392655
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr2_f_007;13.832174131522933
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr2_r_008;11.868320078287432
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr3_f_007;13.307287998668798
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr3_r_008;10.710929606461013
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr4_f_007;11.618590768207062
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr4_r_008;9.94627695409194
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr5_f_007;8.743746944091692
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr5_r_008;6.949615710195682
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr6_f_007;12.007441462065605
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr6_r_008;8.73696284186503
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr7_f_007;12.178149551028675
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr7_r_008;12.170641643350036
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr3_f_007;14.657981098741946
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr3_r_008;14.157861637866441
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr4_f_007;7.042146269258378
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr4_r_008;8.035151577669973
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr5_f_007;11.228267644678922
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr5_r_008;10.996203405784518
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr6_f_007;12.316135792123983
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr6_r_008;12.237466746813869
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr7_f_007;12.779284227327588
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr7_r_008;13.87203683862877
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr3_f_007;20.660409814269048
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr3_r_008;15.757788332569751
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr4_f_007;12.663068171502571
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr4_r_008;7.959735225834683
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr5_f_007;16.21873532289358
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr5_r_008;11.515190338967463
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr6_f_007;18.182950201692943
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr6_r_008;13.56782165574187
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr7_f_007;15.19147527257164
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr7_r_008;12.214411985169573
('a', 'a~');('fr', 'fr');same;fr_fr3_f_007;fr_fr4_f_007;12.702869850489819
('a', 'a~');('fr', 'fr');same;fr_fr3_f_007;fr_fr4_r_008;16.16489350512057
