contrast;language;condition;file1;file2;distance
('A', 'i');('en', 'en');same;en_us1_f_001;en_us2_f_001;5.57169152095095
('A', 'i');('en', 'en');same;en_us1_f_001;en_us2_r_002;5.953622236073177
('A', 'i');('en', 'en');same;en_us1_f_001;en_us3_f_001;7.44791301770547
('A', 'i');('en', 'en');same;en_us1_f_001;en_us3_r_002;7.629050100718824
('A', 'i');('en', 'en');same;en_us1_r_002;en_us2_f_001;6.091229867394046
('A', 'i');('en', 'en');same;en_us1_r_002;en_us2_r_002;6.364563842653867
('A', 'i');('en', 'en');same;en_us1_r_002;en_us3_f_001;6.722757700272732
('A', 'i');('en', 'en');same;en_us1_r_002;en_us3_r_002;7.081525632680525
('A', 'i');('en', 'en');same;en_us2_f_001;en_us3_f_001;6.623025060485153
('A', 'i');('en', 'en');same;en_us2_f_001;en_us3_r_002;6.74628672204424
('A', 'i');('en', 'en');same;en_us2_r_002;en_us3_f_001;6.83267161898844
('A', 'i');('en', 'en');same;en_us2_r_002;en_us3_r_002;6.74348417497561
('A', 'i');('en', 'en');same;en_us1_f_003;en_us2_f_003;2.6751924686157302
('A', 'i');('en', 'en');same;en_us1_f_003;en_us2_r_004;2.94631625850668
('A', 'i');('en', 'en');same;en_us1_f_003;en_us3_f_003;4.350191311133088
('A', 'i');('en', 'en');same;en_us1_f_003;en_us3_r_004;4.255376545289236
('A', 'i');('en', 'en');same;en_us1_r_004;en_us2_f_003;2.7998868900811873
('A', 'i');('en', 'en');same;en_us1_r_004;en_us2_r_004;2.97626279880014
('A', 'i');('en', 'en');same;en_us1_r_004;en_us3_f_003;4.500040444678134
('A', 'i');('en', 'en');same;en_us1_r_004;en_us3_r_004;4.549361288157882
('A', 'i');('en', 'en');same;en_us2_f_003;en_us3_f_003;2.897642471329844
('A', 'i');('en', 'en');same;en_us2_f_003;en_us3_r_004;2.812146872348807
('A', 'i');('en', 'en');same;en_us2_r_004;en_us3_f_003;3.2792261971313197
('A', 'i');('en', 'en');same;en_us2_r_004;en_us3_r_004;3.1561534448990276
('A', 'i');('en', 'en');different;en_us1_f_001;en_us2_f_003;13.593795188016772
('A', 'i');('en', 'en');different;en_us1_f_001;en_us2_r_004;13.580482483688657
('A', 'i');('en', 'en');different;en_us1_f_001;en_us3_f_003;14.163410775593404
('A', 'i');('en', 'en');different;en_us1_f_001;en_us3_r_004;13.933612628636658
('A', 'i');('en', 'en');different;en_us1_r_002;en_us2_f_003;12.605229623997834
('A', 'i');('en', 'en');different;en_us1_r_002;en_us2_r_004;12.559391151930829
('A', 'i');('en', 'en');different;en_us1_r_002;en_us3_f_003;13.157977057136696
('A', 'i');('en', 'en');different;en_us1_r_002;en_us3_r_004;12.987759214190723
('A', 'i');('en', 'en');different;en_us2_f_001;en_us1_f_003;13.07398996778492
('A', 'i');('en', 'en');different;en_us2_f_001;en_us1_r_004;13.44675470051337
('A', 'i');('en', 'en');different;en_us2_f_001;en_us3_f_003;14.382798031718083
('A', 'i');('en', 'en');different;en_us2_f_001;en_us3_r_004;14.246867124179118
('A', 'i');('en', 'en');different;en_us2_r_002;en_us1_f_003;13.547302125494864
('A', 'i');('en', 'en');different;en_us2_r_002;en_us1_r_004;13.913067857524894
('A', 'i');('en', 'en');different;en_us2_r_002;en_us3_f_003;14.469503756574621
('A', 'i');('en', 'en');different;en_us2_r_002;en_us3_r_004;14.4266189017077
('A', 'i');('en', 'en');different;en_us3_f_001;en_us1_f_003;11.109076279103567
('A', 'i');('en', 'en');different;en_us3_f_001;en_us1_r_004;11.314519953800296
('A', 'i');('en', 'en');different;en_us3_f_001;en_us2_f_003;11.22416678913141
('A', 'i');('en', 'en');different;en_us3_f_001;en_us2_r_004;11.167920116399692
('A', 'i');('en', 'en');different;en_us3_r_002;en_us1_f_003;10.789990194871049
('A', 'i');('en', 'en');different;en_us3_r_002;en_us1_r_004;11.08799485025475
('A', 'i');('en', 'en');different;en_us3_r_002;en_us2_f_003;10.981320175665157
('A', 'i');('en', 'en');different;en_us3_r_002;en_us2_r_004;11.025521230199521
('i', 'I');('en', 'en');same;en_us1_f_003;en_us2_f_003;2.6751924686157302
('i', 'I');('en', 'en');same;en_us1_f_003;en_us2_r_004;2.94631625850668
('i', 'I');('en', 'en');same;en_us1_f_003;en_us3_f_003;4.350191311133088
('i', 'I');('en', 'en');same;en_us1_f_003;en_us3_r_004;4.255376545289236
('i', 'I');('en', 'en');same;en_us1_r_004;en_us2_f_003;2.7998868900811873
('i', 'I');('en', 'en');same;en_us1_r_004;en_us2_r_004;2.97626279880014
('i', 'I');('en', 'en');same;en_us1_r_004;en_us3_f_003;4.500040444678134
('i', 'I');('en', 'en');same;en_us1_r_004;en_us3_r_004;4.549361288157882
('i', 'I');('en', 'en');same;en_us2_f_003;en_us3_f_003;2.897642471329844
('i', 'I');('en', 'en');same;en_us2_f_003;en_us3_r_004;2.812146872348807
('i', 'I');('en', 'en');same;en_us2_r_004;en_us3_f_003;3.2792261971313197
('i', 'I');('en', 'en');same;en_us2_r_004;en_us3_r_004;3.1561534448990276
('i', 'I');('en', 'en');same;en_us1_f_005;en_us2_f_005;3.919909946068965
('i', 'I');('en', 'en');same;en_us1_f_005;en_us2_r_006;4.067379666225236
('i', 'I');('en', 'en');same;en_us1_f_005;en_us3_f_005;5.928993755407438
('i', 'I');('en', 'en');same;en_us1_f_005;en_us3_r_006;5.617546855406438
('i', 'I');('en', 'en');same;en_us1_r_006;en_us2_f_005;4.117810594974948
('i', 'I');('en', 'en');same;en_us1_r_006;en_us2_r_006;4.097103752728675
('i', 'I');('en', 'en');same;en_us1_r_006;en_us3_f_005;6.26631011357238
('i', 'I');('en', 'en');same;en_us1_r_006;en_us3_r_006;6.04425015210339
('i', 'I');('en', 'en');same;en_us2_f_005;en_us3_f_005;6.18708838850928
('i', 'I');('en', 'en');same;en_us2_f_005;en_us3_r_006;5.907583151345544
('i', 'I');('en', 'en');same;en_us2_r_006;en_us3_f_005;6.3410686779683125
('i', 'I');('en', 'en');same;en_us2_r_006;en_us3_r_006;6.067040278411078
('i', 'I');('en', 'en');different;en_us1_f_003;en_us2_f_005;4.526523913653566
('i', 'I');('en', 'en');different;en_us1_f_003;en_us2_r_006;4.784327566356436
('i', 'I');('en', 'en');different;en_us1_f_003;en_us3_f_005;5.662294227584677
('i', 'I');('en', 'en');different;en_us1_f_003;en_us3_r_006;5.493385495159222
('i', 'I');('en', 'en');different;en_us1_r_004;en_us2_f_005;4.736675311017057
('i', 'I');('en', 'en');different;en_us1_r_004;en_us2_r_006;4.92719547391304
('i', 'I');('en', 'en');different;en_us1_r_004;en_us3_f_005;6.207622721061662
('i', 'I');('en', 'en');different;en_us1_r_004;en_us3_r_006;5.997722312590981
('i', 'I');('en', 'en');different;en_us2_f_003;en_us1_f_005;3.4918349876337866
('i', 'I');('en', 'en');different;en_us2_f_003;en_us1_r_006;3.6144885268171003
('i', 'I');('en', 'en');different;en_us2_f_003;en_us3_f_005;5.8737891551549435
('i', 'I');('en', 'en');different;en_us2_f_003;en_us3_r_006;5.7065342440580125
('i', 'I');('en', 'en');different;en_us2_r_004;en_us1_f_005;3.819425153383087
