contrast;language;condition;file1;file2;distance
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr2_f_005;5.445529710375202
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr2_r_006;5.327988629250194
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr3_f_005;4.106278922850553
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr3_r_006;4.2895855626733645
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr4_f_005;5.2348920544407225
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr4_r_006;4.860149395743138
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr5_f_005;4.615177762870231
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr5_r_006;3.773272679006652
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr6_f_005;3.274806562825187
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr6_r_006;3.14466535352756
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr7_f_005;4.5013086523341626
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr7_r_006;4.526814210065034
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr2_f_005;5.557191863898456
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr2_r_006;5.406505726803584
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr3_f_005;4.5001769328163475
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr3_r_006;4.667785512276898
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr4_f_005;5.379980254777009
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr4_r_006;4.924838915082899
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr5_f_005;4.37193296069952
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr5_r_006;3.7547963818576315
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr6_f_005;3.5925686329825677
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr6_r_006;3.190016868724268
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr7_f_005;5.066577494152897
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr7_r_006;5.11930598610178
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr3_f_005;6.75413847543857
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr3_r_006;6.770391734492572
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr4_f_005;4.7199968005317565
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr4_r_006;3.960710762051791
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr5_f_005;6.778742266502128
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr5_r_006;5.9957186847936
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr6_f_005;5.548280815188469
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr6_r_006;4.55464586299306
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr7_f_005;5.02765060365349
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr7_r_006;4.388970509973651
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr3_f_005;7.16707654654539
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr3_r_006;7.265527990347247
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr4_f_005;4.750559556377532
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr4_r_006;3.998024462325936
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr5_f_005;7.033325448512236
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr5_r_006;6.167536016094961
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr6_f_005;5.29945654300987
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr6_r_006;4.483288734815657
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr7_f_005;5.105568113367337
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr7_r_006;4.542930233561107
('a', 'a~');('fr', 'fr');same;fr_fr3_f_005;fr_fr4_f_005;6.50576489332054
('a', 'a~');('fr', 'fr');same;fr_fr3_f_005;fr_fr4_r_006;5.888173590637404
('a', 'a~');('fr', 'fr');same;fr_fr3_f_005;fr_fr5_f_005;4.472054274995532
('a', 'a~');('fr', 'fr');same;fr_fr3_f_005;fr_fr5_r_006;3.941899375174179
('a', 'a~');('fr', 'fr');same;fr_fr3_f_005;fr_fr6_f_005;4.599784793586085
('a', 'a~');('fr', 'fr');same;fr_fr3_f_005;fr_fr6_r_006;4.360108433837339
('a', 'a~');('fr', 'fr');same;fr_fr3_f_005;fr_fr7_f_005;4.347554035814256
('a', 'a~');('fr', 'fr');same;fr_fr3_f_005;fr_fr7_r_006;4.104936401205994
('a', 'a~');('fr', 'fr');same;fr_fr3_r_006;fr_fr4_f_005;6.92244897094049
('a', 'a~');('fr', 'fr');same;fr_fr3_r_006;fr_fr4_r_006;5.966290560992349
('a', 'a~');('fr', 'fr');same;fr_fr3_r_006;fr_fr5_f_005;4.876059678219385
('a', 'a~');('fr', 'fr');same;fr_fr3_r_006;fr_fr5_r_006;3.8451955640887077
('a', 'a~');('fr', 'fr');same;fr_fr3_r_006;fr_fr6_f_005;4.699311696839803
('a', 'a~');('fr', 'fr');same;fr_fr3_r_006;fr_fr6_r_006;4.109611904257356
