contrast;language;condition;file1;file2;distance
('A', 'i');('en', 'en');same;en_us1_f_001;en_us2_f_001;37.726813800026555
('A', 'i');('en', 'en');same;en_us1_f_001;en_us2_r_002;38.81317715863625
('A', 'i');('en', 'en');same;en_us1_f_001;en_us3_f_001;31.07830834420622
('A', 'i');('en', 'en');same;en_us1_f_001;en_us3_r_002;30.128992034842465
('A', 'i');('en', 'en');same;en_us1_r_002;en_us2_f_001;41.4838561272616
('A', 'i');('en', 'en');same;en_us1_r_002;en_us2_r_002;42.21677790414757
('A', 'i');('en', 'en');same;en_us1_r_002;en_us3_f_001;36.0374259270962
('A', 'i');('en', 'en');same;en_us1_r_002;en_us3_r_002;34.71916112191869
('A', 'i');('en', 'en');same;en_us2_f_001;en_us3_f_001;33.74052499911155
('A', 'i');('en', 'en');same;en_us2_f_001;en_us3_r_002;31.127057219366417
('A', 'i');('en', 'en');same;en_us2_r_002;en_us3_f_001;34.86504872650167
('A', 'i');('en', 'en');same;en_us2_r_002;en_us3_r_002;31.83626751831522
('A', 'i');('en', 'en');same;en_us1_f_003;en_us2_f_003;22.546229513898908
('A', 'i');('en', 'en');same;en_us1_f_003;en_us2_r_004;22.482443186538536
('A', 'i');('en', 'en');same;en_us1_f_003;en_us3_f_003;23.027323832619718
('A', 'i');('en', 'en');same;en_us1_f_003;en_us3_r_004;22.212324493297526
('A', 'i');('en', 'en');same;en_us1_r_004;en_us2_f_003;20.048465332069114
('A', 'i');('en', 'en');same;en_us1_r_004;en_us2_r_004;19.643317650652296
('A', 'i');('en', 'en');same;en_us1_r_004;en_us3_f_003;20.590073486638733
('A', 'i');('en', 'en');same;en_us1_r_004;en_us3_r_004;19.78291732964707
('A', 'i');('en', 'en');same;en_us2_f_003;en_us3_f_003;17.07499341578018
('A', 'i');('en', 'en');same;en_us2_f_003;en_us3_r_004;17.259078813312033
('A', 'i');('en', 'en');same;en_us2_r_004;en_us3_f_003;17.57629099209512
('A', 'i');('en', 'en');same;en_us2_r_004;en_us3_r_004;17.36081289556528
