contrast;language;condition;file1;file2;distance
('A', 'i');('en', 'en');same;en_us1_f_001;en_us2_f_001;1.8500923110931198
('A', 'i');('en', 'en');same;en_us1_f_001;en_us2_r_002;1.7575128342807087
('A', 'i');('en', 'en');same;en_us1_f_001;en_us3_f_001;2.0248207871620365
('A', 'i');('en', 'en');same;en_us1_f_001;en_us3_r_002;1.8644491045369178
('A', 'i');('en', 'en');same;en_us1_r_002;en_us2_f_001;1.8905026026589258
('A', 'i');('en', 'en');same;en_us1_r_002;en_us2_r_002;1.8439989105884655
('A', 'i');('en', 'en');same;en_us1_r_002;en_us3_f_001;1.8474607119159208
('A', 'i');('en', 'en');same;en_us1_r_002;en_us3_r_002;1.708477964984159
('A', 'i');('en', 'en');same;en_us2_f_001;en_us3_f_001;2.2985633209106773
('A', 'i');('en', 'en');same;en_us2_f_001;en_us3_r_002;2.077670156235473
('A', 'i');('en', 'en');same;en_us2_r_002;en_us3_f_001;2.370132947655394
('A', 'i');('en', 'en');same;en_us2_r_002;en_us3_r_002;2.0982725336113237
('A', 'i');('en', 'en');same;en_us1_f_003;en_us2_f_003;1.2123260051300773
('A', 'i');('en', 'en');same;en_us1_f_003;en_us2_r_004;1.1986359881210582
('A', 'i');('en', 'en');same;en_us1_f_003;en_us3_f_003;1.3254742056018864
('A', 'i');('en', 'en');same;en_us1_f_003;en_us3_r_004;1.2880275176683167
('A', 'i');('en', 'en');same;en_us1_r_004;en_us2_f_003;1.2454661168373853
('A', 'i');('en', 'en');same;en_us1_r_004;en_us2_r_004;1.2226868507688788
('A', 'i');('en', 'en');same;en_us1_r_004;en_us3_f_003;1.3496548081754882
('A', 'i');('en', 'en');same;en_us1_r_004;en_us3_r_004;1.2720072322344382
('A', 'i');('en', 'en');same;en_us2_f_003;en_us3_f_003;0.3884382950799319
('A', 'i');('en', 'en');same;en_us2_f_003;en_us3_r_004;0.41838396353506435
('A', 'i');('en', 'en');same;en_us2_r_004;en_us3_f_003;0.47009321543415605
('A', 'i');('en', 'en');same;en_us2_r_004;en_us3_r_004;0.4516745290218461
('A', 'i');('en', 'en');different;en_us1_f_001;en_us2_f_003;6.632714382548832
('A', 'i');('en', 'en');different;en_us1_f_001;en_us2_r_004;6.529980583765556
('A', 'i');('en', 'en');different;en_us1_f_001;en_us3_f_003;7.270765910195248
('A', 'i');('en', 'en');different;en_us1_f_001;en_us3_r_004;7.290871556304345
('A', 'i');('en', 'en');different;en_us1_r_002;en_us2_f_003;5.809164167687015
('A', 'i');('en', 'en');different;en_us1_r_002;en_us2_r_004;5.795259458649504
('A', 'i');('en', 'en');different;en_us1_r_002;en_us3_f_003;6.391322062172108
('A', 'i');('en', 'en');different;en_us1_r_002;en_us3_r_004;6.389873607707647
('A', 'i');('en', 'en');different;en_us2_f_001;en_us1_f_003;6.037570390873536
('A', 'i');('en', 'en');different;en_us2_f_001;en_us1_r_004;7.08533752918473
('A', 'i');('en', 'en');different;en_us2_f_001;en_us3_f_003;7.610364895555675
('A', 'i');('en', 'en');different;en_us2_f_001;en_us3_r_004;8.425583000729947
('A', 'i');('en', 'en');different;en_us2_r_002;en_us1_f_003;6.103082805302565
('A', 'i');('en', 'en');different;en_us2_r_002;en_us1_r_004;7.078444577619389
('A', 'i');('en', 'en');different;en_us2_r_002;en_us3_f_003;7.58519018660032
('A', 'i');('en', 'en');different;en_us2_r_002;en_us3_r_004;8.38784527299332
('A', 'i');('en', 'en');different;en_us3_f_001;en_us1_f_003;3.7759108482106183
('A', 'i');('en', 'en');different;en_us3_f_001;en_us1_r_004;4.446130637025291
('A', 'i');('en', 'en');different;en_us3_f_001;en_us2_f_003;4.529254561364055
('A', 'i');('en', 'en');different;en_us3_f_001;en_us2_r_004;4.517629777516856
('A', 'i');('en', 'en');different;en_us3_r_002;en_us1_f_003;3.9449277388150827
('A', 'i');('en', 'en');different;en_us3_r_002;en_us1_r_004;4.5013137787289015
('A', 'i');('en', 'en');different;en_us3_r_002;en_us2_f_003;4.5845200126733285
('A', 'i');('en', 'en');different;en_us3_r_002;en_us2_r_004;4.461351572063625
('i', 'I');('en', 'en');same;en_us1_f_003;en_us2_f_003;1.2123260051300773
('i', 'I');('en', 'en');same;en_us1_f_003;en_us2_r_004;1.1986359881210582
('i', 'I');('en', 'en');same;en_us1_f_003;en_us3_f_003;1.3254742056018864
('i', 'I');('en', 'en');same;en_us1_f_003;en_us3_r_004;1.2880275176683167
('i', 'I');('en', 'en');same;en_us1_r_004;en_us2_f_003;1.2454661168373853
('i', 'I');('en', 'en');same;en_us1_r_004;en_us2_r_004;1.2226868507688788
('i', 'I');('en', 'en');same;en_us1_r_004;en_us3_f_003;1.3496548081754882
('i', 'I');('en', 'en');same;en_us1_r_004;en_us3_r_004;1.2720072322344382
('i', 'I');('en', 'en');same;en_us2_f_003;en_us3_f_003;0.3884382950799319
('i', 'I');('en', 'en');same;en_us2_f_003;en_us3_r_004;0.41838396353506435
('i', 'I');('en', 'en');same;en_us2_r_004;en_us3_f_003;0.47009321543415605
('i', 'I');('en', 'en');same;en_us2_r_004;en_us3_r_004;0.4516745290218461
('i', 'I');('en', 'en');same;en_us1_f_005;en_us2_f_005;1.6432403211482796
('i', 'I');('en', 'en');same;en_us1_f_005;en_us2_r_006;1.7589823529417803
('i', 'I');('en', 'en');same;en_us1_f_005;en_us3_f_005;2.260610103415443
('i', 'I');('en', 'en');same;en_us1_f_005;en_us3_r_006;2.268330360917986
('i', 'I');('en', 'en');same;en_us1_r_006;en_us2_f_005;1.7071326415100736
('i', 'I');('en', 'en');same;en_us1_r_006;en_us2_r_006;1.791256286211178
