contrast;language;condition;file1;file2;distance
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr2_f_005;2.0217924736207378
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr2_r_006;2.167578810046383
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr3_f_005;2.140600482626434
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr3_r_006;2.115079891394565
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr4_f_005;1.7526147658152866
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr4_r_006;1.8490304252173182
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr5_f_005;1.4044955015445975
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr5_r_006;1.2418060280145509
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr6_f_005;1.3340092604126244
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr6_r_006;1.4375013912481727
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr7_f_005;1.7765974947600536
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr7_r_006;1.8329280295061658
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr2_f_005;2.014075991256081
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr2_r_006;2.0964030928563018
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr3_f_005;2.147886720582791
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr3_r_006;2.039503273424541
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr4_f_005;1.6129804566454051
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr4_r_006;1.7506859206130208
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr5_f_005;1.4498285512202866
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr5_r_006;1.3097689323222408
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr6_f_005;1.4392115257421976
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr6_r_006;1.4436864728427348
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr7_f_005;1.7405505056678834
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr7_r_006;1.7801373623751
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr3_f_005;3.4761841353529914
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr3_r_006;3.4498096166947247
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr4_f_005;1.4038393161584435
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr4_r_006;1.379758840614433
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr5_f_005;2.7278524790741545
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr5_r_006;2.6421152568069424
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr6_f_005;1.9833646147615598
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr6_r_006;1.8849895663183798
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr7_f_005;1.5534814266441872
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr7_r_006;1.5564807470268445
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr3_f_005;4.006978847996798
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr3_r_006;3.8812692787565135
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr4_f_005;1.4689588573668058
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr4_r_006;1.374131583117712
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr5_f_005;2.8573207155260216
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr5_r_006;2.741490140906863
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr6_f_005;2.0896881563435667
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr6_r_006;1.931793668793238
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr7_f_005;1.5859023848452973
