contrast;language;condition;file1;file2;distance
('A', 'i');('en', 'en');same;en_us1_f_001;en_us2_f_001;0.0
('A', 'i');('en', 'en');same;en_us1_f_001;en_us2_r_002;0.0
('A', 'i');('en', 'en');same;en_us1_f_001;en_us3_f_001;0.0
('A', 'i');('en', 'en');same;en_us1_f_001;en_us3_r_002;0.0
('A', 'i');('en', 'en');same;en_us1_r_002;en_us2_f_001;0.0
('A', 'i');('en', 'en');same;en_us1_r_002;en_us2_r_002;0.0
('A', 'i');('en', 'en');same;en_us1_r_002;en_us3_f_001;0.0
('A', 'i');('en', 'en');same;en_us1_r_002;en_us3_r_002;0.0
('A', 'i');('en', 'en');same;en_us2_f_001;en_us3_f_001;0.0
('A', 'i');('en', 'en');same;en_us2_f_001;en_us3_r_002;0.0
('A', 'i');('en', 'en');same;en_us2_r_002;en_us3_f_001;0.0
('A', 'i');('en', 'en');same;en_us2_r_002;en_us3_r_002;0.0
('A', 'i');('en', 'en');same;en_us1_f_003;en_us2_f_003;0.0
('A', 'i');('en', 'en');same;en_us1_f_003;en_us2_r_004;0.0
('A', 'i');('en', 'en');same;en_us1_f_003;en_us3_f_003;0.0
('A', 'i');('en', 'en');same;en_us1_f_003;en_us3_r_004;0.0
('A', 'i');('en', 'en');same;en_us1_r_004;en_us2_f_003;0.0
('A', 'i');('en', 'en');same;en_us1_r_004;en_us2_r_004;0.0
('A', 'i');('en', 'en');same;en_us1_r_004;en_us3_f_003;0.0
('A', 'i');('en', 'en');same;en_us1_r_004;en_us3_r_004;0.0
('A', 'i');('en', 'en');same;en_us2_f_003;en_us3_f_003;0.0
('A', 'i');('en', 'en');same;en_us2_f_003;en_us3_r_004;0.0
('A', 'i');('en', 'en');same;en_us2_r_004;en_us3_f_003;0.0
('A', 'i');('en', 'en');same;en_us2_r_004;en_us3_r_004;0.0
('A', 'i');('en', 'en');different;en_us1_f_001;en_us2_f_003;99.0
('A', 'i');('en', 'en');different;en_us1_f_001;en_us2_r_004;99.0
('A', 'i');('en', 'en');different;en_us1_f_001;en_us3_f_003;99.0
('A', 'i');('en', 'en');different;en_us1_f_001;en_us3_r_004;99.0
