contrast;language;condition;file1;file2;distance
('A', 'i');('en', 'en');same;en_us1_f_001;en_us2_f_001;23.527323415737623
('A', 'i');('en', 'en');same;en_us1_f_001;en_us2_r_002;23.358079476583303
('A', 'i');('en', 'en');same;en_us1_f_001;en_us3_f_001;23.52885370374428
('A', 'i');('en', 'en');same;en_us1_f_001;en_us3_r_002;23.396059162495305
('A', 'i');('en', 'en');same;en_us1_r_002;en_us2_f_001;23.53313559397646
('A', 'i');('en', 'en');same;en_us1_r_002;en_us2_r_002;23.38608147810166
('A', 'i');('en', 'en');same;en_us1_r_002;en_us3_f_001;23.584058559218324
('A', 'i');('en', 'en');same;en_us1_r_002;en_us3_r_002;23.506064787720113
('A', 'i');('en', 'en');same;en_us2_f_001;en_us3_f_001;23.581562588235595
('A', 'i');('en', 'en');same;en_us2_f_001;en_us3_r_002;23.202153679088557
('A', 'i');('en', 'en');same;en_us2_r_002;en_us3_f_001;23.317749545736298
('A', 'i');('en', 'en');same;en_us2_r_002;en_us3_r_002;23.166486713070462
('A', 'i');('en', 'en');same;en_us1_f_003;en_us2_f_003;23.360134647799637
('A', 'i');('en', 'en');same;en_us1_f_003;en_us2_r_004;23.104135267236337
('A', 'i');('en', 'en');same;en_us1_f_003;en_us3_f_003;23.431453564585272
('A', 'i');('en', 'en');same;en_us1_f_003;en_us3_r_004;23.314579886672018
('A', 'i');('en', 'en');same;en_us1_r_004;en_us2_f_003;23.406692741426312
('A', 'i');('en', 'en');same;en_us1_r_004;en_us2_r_004;23.38150356249669
('A', 'i');('en', 'en');same;en_us1_r_004;en_us3_f_003;23.394875355791953
('A', 'i');('en', 'en');same;en_us1_r_004;en_us3_r_004;23.42767416355933
('A', 'i');('en', 'en');same;en_us2_f_003;en_us3_f_003;23.622662839596465
('A', 'i');('en', 'en');same;en_us2_f_003;en_us3_r_004;23.36595062823231
('A', 'i');('en', 'en');same;en_us2_r_004;en_us3_f_003;23.317117703750185
('A', 'i');('en', 'en');same;en_us2_r_004;en_us3_r_004;23.349612192329694
('A', 'i');('en', 'en');different;en_us1_f_001;en_us2_f_003;23.585390487593678
('A', 'i');('en', 'en');different;en_us1_f_001;en_us2_r_004;23.313855287472066
('A', 'i');('en', 'en');different;en_us1_f_001;en_us3_f_003;23.471907342146814
('A', 'i');('en', 'en');different;en_us1_f_001;en_us3_r_004;23.501317939829235
('A', 'i');('en', 'en');different;en_us1_r_002;en_us2_f_003;23.426939639619743
('A', 'i');('en', 'en');different;en_us1_r_002;en_us2_r_004;23.272294925787072
('A', 'i');('en', 'en');different;en_us1_r_002;en_us3_f_003;23.44930782079593
('A', 'i');('en', 'en');different;en_us1_r_002;en_us3_r_004;23.344384963446903
('A', 'i');('en', 'en');different;en_us2_f_001;en_us1_f_003;23.35788982048453
('A', 'i');('en', 'en');different;en_us2_f_001;en_us1_r_004;23.390540284383075
('A', 'i');('en', 'en');different;en_us2_f_001;en_us3_f_003;23.601060467756106
('A', 'i');('en', 'en');different;en_us2_f_001;en_us3_r_004;23.328607096508033
('A', 'i');('en', 'en');different;en_us2_r_002;en_us1_f_003;23.235959905634477
('A', 'i');('en', 'en');different;en_us2_r_002;en_us1_r_004;23.30708882192127
('A', 'i');('en', 'en');different;en_us2_r_002;en_us3_f_003;23.359624691509307
('A', 'i');('en', 'en');different;en_us2_r_002;en_us3_r_004;23.391805858475454
('A', 'i');('en', 'en');different;en_us3_f_001;en_us1_f_003;23.46951070548175
('A', 'i');('en', 'en');different;en_us3_f_001;en_us1_r_004;23.353051499425476
('A', 'i');('en', 'en');different;en_us3_f_001;en_us2_f_003;23.483078730015723
('A', 'i');('en', 'en');different;en_us3_f_001;en_us2_r_004;23.285010858106002
('A', 'i');('en', 'en');different;en_us3_r_002;en_us1_f_003;23.02511887855368
('A', 'i');('en', 'en');different;en_us3_r_002;en_us1_r_004;23.1327067443281
('A', 'i');('en', 'en');different;en_us3_r_002;en_us2_f_003;23.269982122533847
('A', 'i');('en', 'en');different;en_us3_r_002;en_us2_r_004;23.119974463725008
('i', 'I');('en', 'en');same;en_us1_f_003;en_us2_f_003;23.360134647799637
('i', 'I');('en', 'en');same;en_us1_f_003;en_us2_r_004;23.104135267236337
('i', 'I');('en', 'en');same;en_us1_f_003;en_us3_f_003;23.431453564585272
('i', 'I');('en', 'en');same;en_us1_f_003;en_us3_r_004;23.314579886672018
('i', 'I');('en', 'en');same;en_us1_r_004;en_us2_f_003;23.406692741426312
('i', 'I');('en', 'en');same;en_us1_r_004;en_us2_r_004;23.38150356249669
('i', 'I');('en', 'en');same;en_us1_r_004;en_us3_f_003;23.394875355791953
('i', 'I');('en', 'en');same;en_us1_r_004;en_us3_r_004;23.42767416355933
('i', 'I');('en', 'en');same;en_us2_f_003;en_us3_f_003;23.622662839596465
('i', 'I');('en', 'en');same;en_us2_f_003;en_us3_r_004;23.36595062823231
('i', 'I');('en', 'en');same;en_us2_r_004;en_us3_f_003;23.317117703750185
('i', 'I');('en', 'en');same;en_us2_r_004;en_us3_r_004;23.349612192329694
('i', 'I');('en', 'en');same;en_us1_f_005;en_us2_f_005;23.229542613409958
('i', 'I');('en', 'en');same;en_us1_f_005;en_us2_r_006;23.186472989467912
('i', 'I');('en', 'en');same;en_us1_f_005;en_us3_f_005;23.281542028204818
('i', 'I');('en', 'en');same;en_us1_f_005;en_us3_r_006;23.462363061712765
('i', 'I');('en', 'en');same;en_us1_r_006;en_us2_f_005;23.506625971288123
('i', 'I');('en', 'en');same;en_us1_r_006;en_us2_r_006;23.357753640996208
('i', 'I');('en', 'en');same;en_us1_r_006;en_us3_f_005;23.58419050853665
('i', 'I');('en', 'en');same;en_us1_r_006;en_us3_r_006;23.639892537310885
('i', 'I');('en', 'en');same;en_us2_f_005;en_us3_f_005;23.349350692393145
('i', 'I');('en', 'en');same;en_us2_f_005;en_us3_r_006;23.337234162227862
('i', 'I');('en', 'en');same;en_us2_r_006;en_us3_f_005;23.329788066786527
('i', 'I');('en', 'en');same;en_us2_r_006;en_us3_r_006;23.362960249974915
('i', 'I');('en', 'en');different;en_us1_f_003;en_us2_f_005;23.306920707687937
('i', 'I');('en', 'en');different;en_us1_f_003;en_us2_r_006;23.2663086673938
('i', 'I');('en', 'en');different;en_us1_f_003;en_us3_f_005;23.29957309699359
('i', 'I');('en', 'en');different;en_us1_f_003;en_us3_r_006;23.585945723869415
('i', 'I');('en', 'en');different;en_us1_r_004;en_us2_f_005;23.217396185060515
('i', 'I');('en', 'en');different;en_us1_r_004;en_us2_r_006;23.281766454452985
('i', 'I');('en', 'en');different;en_us1_r_004;en_us3_f_005;23.501510919227286
('i', 'I');('en', 'en');different;en_us1_r_004;en_us3_r_006;23.657780609966213
('i', 'I');('en', 'en');different;en_us2_f_003;en_us1_f_005;23.193724986518937
('i', 'I');('en', 'en');different;en_us2_f_003;en_us1_r_006;23.50982367640204
('i', 'I');('en', 'en');different;en_us2_f_003;en_us3_f_005;23.59141261464356
('i', 'I');('en', 'en');different;en_us2_f_003;en_us3_r_006;23.47836237822159
('i', 'I');('en', 'en');different;en_us2_r_004;en_us1_f_005;23.029064848186618
('i', 'I');('en', 'en');different;en_us2_r_004;en_us1_r_006;23.33166678144515
('i', 'I');('en', 'en');different;en_us2_r_004;en_us3_f_005;23.32917778234903
