contrast;language;condition;file1;file2;distance
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr2_f_005;23.479663677986867
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr2_r_006;23.177304775409215
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr3_f_005;23.29013608469863
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr3_r_006;23.374333644545228
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr4_f_005;23.32200640307978
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr4_r_006;23.33940665559311
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr5_f_005;23.13301737013346
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr5_r_006;23.40623053711211
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr6_f_005;23.39487538422356
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr6_r_006;23.438941937967858
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr7_f_005;23.36362719573986
('a', 'a~');('fr', 'fr');same;fr_fr1_f_005;fr_fr7_r_006;23.446794444809473
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr2_f_005;23.42685032463392
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr2_r_006;23.011324281730857
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr3_f_005;23.297052275825497
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr3_r_006;23.653556774948285
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr4_f_005;23.361339620659148
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr4_r_006;23.159007340420477
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr5_f_005;22.98117862696442
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr5_r_006;23.418505552418466
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr6_f_005;23.251736906601938
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr6_r_006;23.36193979963304
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr7_f_005;23.11265083677313
('a', 'a~');('fr', 'fr');same;fr_fr1_r_006;fr_fr7_r_006;23.376784707452856
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr3_f_005;23.43153233809973
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr3_r_006;23.44375916897631
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr4_f_005;23.4491147478305
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr4_r_006;23.39071030777748
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr5_f_005;23.140880498346355
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr5_r_006;23.386882599847166
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr6_f_005;23.46105275156309
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr6_r_006;23.53060915935291
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr7_f_005;23.248430758841256
('a', 'a~');('fr', 'fr');same;fr_fr2_f_005;fr_fr7_r_006;23.445425489725157
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr3_f_005;23.193924384325168
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr3_r_006;23.37319211178325
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr4_f_005;23.269349108736126
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr4_r_006;23.176095512009397
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr5_f_005;22.867184259257716
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr5_r_006;23.230542987843346
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr6_f_005;23.175320503807217
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr6_r_006;23.371945245944676
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr7_f_005;23.295981221551802
('a', 'a~');('fr', 'fr');same;fr_fr2_r_006;fr_fr7_r_006;23.29168287280668
('a', 'a~');('fr', 'fr');same;fr_fr3_f_005;fr_fr4_f_005;23.257341312377168
('a', 'a~');('fr', 'fr');same;fr_fr3_f_005;fr_fr4_r_006;23.16022591669207
('a', 'a~');('fr', 'fr');same;fr_fr3_f_005;fr_fr5_f_005;22.908361017220276
('a', 'a~');('fr', 'fr');same;fr_fr3_f_005;fr_fr5_r_006;23.226878190770602
('a', 'a~');('fr', 'fr');same;fr_fr3_f_005;fr_fr6_f_005;23.26130840448199
('a', 'a~');('fr', 'fr');same;fr_fr3_f_005;fr_fr6_r_006;23.33765032122918
('a', 'a~');('fr', 'fr');same;fr_fr3_f_005;fr_fr7_f_005;23.237930502505296
('a', 'a~');('fr', 'fr');same;fr_fr3_f_005;fr_fr7_r_006;23.209243294268724
('a', 'a~');('fr', 'fr');same;fr_fr3_r_006;fr_fr4_f_005;23.488699644347093
('a', 'a~');('fr', 'fr');same;fr_fr3_r_006;fr_fr4_r_006;23.396934966396817
('a', 'a~');('fr', 'fr');same;fr_fr3_r_006;fr_fr5_f_005;23.08616004435647
('a', 'a~');('fr', 'fr');same;fr_fr3_r_006;fr_fr5_r_006;23.51662959107636
('a', 'a~');('fr', 'fr');same;fr_fr3_r_006;fr_fr6_f_005;23.57412815746761
('a', 'a~');('fr', 'fr');same;fr_fr3_r_006;fr_fr6_r_006;23.73377376243847
('a', 'a~');('fr', 'fr');same;fr_fr3_r_006;fr_fr7_f_005;23.384603328362022
('a', 'a~');('fr', 'fr');same;fr_fr3_r_006;fr_fr7_r_006;23.53070454543325
('a', 'a~');('fr', 'fr');same;fr_fr4_f_005;fr_fr5_f_005;22.925414698687643
('a', 'a~');('fr', 'fr');same;fr_fr4_f_005;fr_fr5_r_006;23.350091412622287
('a', 'a~');('fr', 'fr');same;fr_fr4_f_005;fr_fr6_f_005;23.429929153645595
('a', 'a~');('fr', 'fr');same;fr_fr4_f_005;fr_fr6_r_006;23.50613213436972
('a', 'a~');('fr', 'fr');same;fr_fr4_f_005;fr_fr7_f_005;23.26498613810864
('a', 'a~');('fr', 'fr');same;fr_fr4_f_005;fr_fr7_r_006;23.30188145968671
('a', 'a~');('fr', 'fr');same;fr_fr4_r_006;fr_fr5_f_005;22.73362897892368
('a', 'a~');('fr', 'fr');same;fr_fr4_r_006;fr_fr5_r_006;23.23802581662044
('a', 'a~');('fr', 'fr');same;fr_fr4_r_006;fr_fr6_f_005;23.38393102680321
('a', 'a~');('fr', 'fr');same;fr_fr4_r_006;fr_fr6_r_006;23.42632023488792
('a', 'a~');('fr', 'fr');same;fr_fr4_r_006;fr_fr7_f_005;23.12499024925202
('a', 'a~');('fr', 'fr');same;fr_fr4_r_006;fr_fr7_r_006;23.326467117472152
('a', 'a~');('fr', 'fr');same;fr_fr5_f_005;fr_fr6_f_005;22.850966278152818
('a', 'a~');('fr', 'fr');same;fr_fr5_f_005;fr_fr6_r_006;22.97912567369175
('a', 'a~');('fr', 'fr');same;fr_fr5_f_005;fr_fr7_f_005;22.924639950451947
('a', 'a~');('fr', 'fr');same;fr_fr5_f_005;fr_fr7_r_006;23.100622102537983
('a', 'a~');('fr', 'fr');same;fr_fr5_r_006;fr_fr6_f_005;23.33913241990528
('a', 'a~');('fr', 'fr');same;fr_fr5_r_006;fr_fr6_r_006;23.446534993866344
('a', 'a~');('fr', 'fr');same;fr_fr5_r_006;fr_fr7_f_005;23.136831900551005
('a', 'a~');('fr', 'fr');same;fr_fr5_r_006;fr_fr7_r_006;23.37112824547132
('a', 'a~');('fr', 'fr');same;fr_fr6_f_005;fr_fr7_f_005;23.32140299333948
('a', 'a~');('fr', 'fr');same;fr_fr6_f_005;fr_fr7_r_006;23.35885333623005
('a', 'a~');('fr', 'fr');same;fr_fr6_r_006;fr_fr7_f_005;23.22937856693925
('a', 'a~');('fr', 'fr');same;fr_fr6_r_006;fr_fr7_r_006;23.535093735393605
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr2_f_007;23.41847084365456
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr2_r_008;23.25234310194166
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr3_f_007;23.189463769483513
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr3_r_008;23.245540793790486
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr4_f_007;23.261092757229655
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr4_r_008;23.212449080730575
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr5_f_007;23.22278491724744
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr5_r_008;23.2744293377557
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr6_f_007;23.208860886278323
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr6_r_008;23.20064937829598
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr7_f_007;23.309043837088293
('a', 'a~');('fr', 'fr');same;fr_fr1_f_007;fr_fr7_r_008;23.224354160039436
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr2_f_007;23.59836243307875
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr2_r_008;23.325586719705797
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr3_f_007;23.39206845766606
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr3_r_008;23.31104930417661
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr4_f_007;23.33870060487011
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr4_r_008;23.42682883517933
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr5_f_007;23.34508822992151
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr5_r_008;23.494631178298715
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr6_f_007;23.26772526480847
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr6_r_008;23.434277124509695
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr7_f_007;23.349615734837645
('a', 'a~');('fr', 'fr');same;fr_fr1_r_008;fr_fr7_r_008;23.26030659727047
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr3_f_007;23.43624468544162
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr3_r_008;23.420598346034335
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr4_f_007;23.48504265108064
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr4_r_008;23.355764802618054
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr5_f_007;23.45095498304889
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr5_r_008;23.553700261150777
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr6_f_007;23.453495957127927
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr6_r_008;23.319052801016408
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr7_f_007;23.18750750931751
('a', 'a~');('fr', 'fr');same;fr_fr2_f_007;fr_fr7_r_008;23.295925264495988
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr3_f_007;23.015812825202477
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr3_r_008;23.063436932002176
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr4_f_007;23.28549215166822
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr4_r_008;23.139878526412403
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr5_f_007;23.20987433795056
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr5_r_008;23.39187827051968
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr6_f_007;23.070351056307153
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr6_r_008;23.152533952868062
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr7_f_007;23.222517379444476
('a', 'a~');('fr', 'fr');same;fr_fr2_r_008;fr_fr7_r_008;23.061653055487522
('a', 'a~');('fr', 'fr');same;fr_fr3_f_007;fr_fr4_f_007;23.268534767462896
('a', 'a~');('fr', 'fr');same;fr_fr3_f_007;fr_fr4_r_008;23.108486844043348
('a', 'a~');('fr', 'fr');same;fr_fr3_f_007;fr_fr5_f_007;23.429776860514423
('a', 'a~');('fr', 'fr');same;fr_fr3_f_007;fr_fr5_r_008;23.26657531380364
('a', 'a~');('fr', 'fr');same;fr_fr3_f_007;fr_fr6_f_007;23.091444453010805
('a', 'a~');('fr', 'fr');same;fr_fr3_f_007;fr_fr6_r_008;23.168988297856885
('a', 'a~');('fr', 'fr');same;fr_fr3_f_007;fr_fr7_f_007;23.331161395689524
('a', 'a~');('fr', 'fr');same;fr_fr3_f_007;fr_fr7_r_008;23.109108432951743
('a', 'a~');('fr', 'fr');same;fr_fr3_r_008;fr_fr4_f_007;23.254165981230976
('a', 'a~');('fr', 'fr');same;fr_fr3_r_008;fr_fr4_r_008;23.179164878010805
('a', 'a~');('fr', 'fr');same;fr_fr3_r_008;fr_fr5_f_007;23.15740459562422
('a', 'a~');('fr', 'fr');same;fr_fr3_r_008;fr_fr5_r_008;23.230538632459307
('a', 'a~');('fr', 'fr');same;fr_fr3_r_008;fr_fr6_f_007;23.114091413341047
